CHL(mg/m^3),SST(°C),salinity(ppt),salinity(PSU),Wind_Speed_ERA5(m/s),Wind_Direction_ERA5(degree north),TP(mm),STD_200Km,STD_100Km,SST_STD_12months(°C),SST_STD_6months(°C),Salinity_STD_6months,Status_TR10,delta(200-100),Next_Month_CHL,Next_Month_Status
2.28376,26.59,16713.31034,36.71331034,0.44581852,155.4626092,0.00009,0.3157,0.447,2.006629637,0.827217978,82.15466019,Not Bloom,-0.1313,2.13785,NON_BLOOM
2.13785,25.285,16766.26667,36.76626667,0.979903233,47.07618286,0.00008,0.4262,0.498,1.990836822,0.769931905,96.56825262,Not Bloom,-0.0718,2.24118,NON_BLOOM
2.24118,24.06,16869.93103,36.86993103,1.771998944,30.1216912,0.00049,0.3573,0.5037,1.900629647,1.252142885,127.7571441,Not Bloom,-0.1464,4.87403,NON_BLOOM
4.87403,23.965,16721.59259,36.72159259,1.139372674,59.45085444,0.00032,0.1787,0.2016,1.68365359,1.474243921,123.0455083,Not Bloom,-0.0229,7.07782,NON_BLOOM
7.07782,23.605,16571.25,36.57125,1.380063144,28.93555111,0.0019,0.4111,0.4184,1.695931201,1.525525638,106.1312462,Not Bloom,-0.0073,2.05776,NON_BLOOM
2.05776,25.73,16568.65517,36.56865517,2.996184399,62.06915574,0,0.4622,0.5928,1.690109043,1.075913372,106.2379963,Not Bloom,-0.1306,,NON_BLOOM
,,,20,,,,,,,,,,,,
,,,20,,,,,,,,,,,,
,,,20,,,,,,,,,,,,
,,,20,,,,,,,,,,,6.75784,
6.75784,26.805,16607.78571,36.60778571,2.345214213,9.102008424,0.00001,0.4539,0.575,1.837401311,1.415282657,57.21853416,Not Bloom,-0.1211,5.86523,NON_BLOOM
5.86523,28.435,16460.36667,36.46036667,0.705631995,28.15789231,0.00003,0.2561,0.2916,1.889124393,1.224732681,78.02880365,Not Bloom,-0.0355,2.40198,NON_BLOOM
2.40198,27.69,16771.58621,36.77158621,1.542202404,-151.5231964,0.00231,0.2276,0.2804,1.923982235,1.217102662,102.2432042,Not Bloom,-0.0528,1.50326,NON_BLOOM
1.50326,25.41,16874.53333,36.87453333,0.250976622,-56.83868149,0.00032,0.3454,0.4828,1.917916757,0.950938133,130.4289133,Not Bloom,-0.1374,1.82033,NON_BLOOM
1.82033,24.125,16738.96667,36.73896667,1.629925091,73.89410259,0.00134,0.4309,0.6076,1.911179101,1.419065616,130.8794049,Not Bloom,-0.1767,2.84964,NON_BLOOM
